Município ;Bovino;Bubalino;Equino;Suíno - total;Suíno - matrizes de suínos;Caprino;Ovino;Galináceos - total;Galináceos - galinhas;Codornas
      Anchieta;35104;-;228;11328;2700;217;1150;37620;10600;202
      Bandeirante;18739;-;146;5052;100;66;741;79106;10000;171
      Barra Bonita;13119;-;36;17400;2000;16;210;59262;2850;-
      Belmonte;10669;-;74;3623;239;67;603;390071;7491;176
      Descanso;34918;-;220;56244;4606;423;1419;1100000;8550;122
      Dionísio Cerqueira;32518;77;359;4956;483;133;2338;110000;23000;405
      Guaraciaba;38792;63;203;84783;20113;201;2011;923149;114452;246
      Guarujá do Sul;10799;-;95;13103;259;188;1205;16381;6428;-
      Iporã do Oeste;27146;-;164;220232;24062;123;963;1850000;13000;400
      Itapiranga;38039;-;470;180000;18823;41;1376;2573956;29675;667
      Mondaí;22570;-;300;75000;3500;90;670;988100;30000;250
      Palma Sola;21590;-;131;46559;15234;51;1015;178210;20426;386
      Paraíso;20395;-;167;10000;1500;66;591;154493;19500;452
      Princesa;10859;-;70;7854;29;28;493;19700;10000;131
      Riqueza;21710;-;170;45000;2000;98;630;400000;28000;70
      Romelândia;31324;-;182;3984;950;82;567;289350;11500;140
      Santa Helena;9752;27;89;16850;1835;111;482;226485;8000;150
      São João do Oeste;28300;18;141;128000;11756;69;455;1291607;8500;219
      São José do Cedro;36790;-;269;55422;6598;156;1948;159643;22000;684
      São Miguel do Oeste;25354;-;699;23940;1451;169;2700;739297;399213;1291
      Tunápolis;21222;-;157;117000;21400;16;564;800000;14000;485
      Águas de Chapecó;15370;-;80;16960;180;120;633;830477;19110;20
      Águas Frias;11396;-;104;54366;5389;54;752;243270;12732;-
      Bom Jesus do Oeste;6570;-;47;11860;30;115;520;520000;15000;170
      Caibi;22270;10;130;58000;3800;125;1000;550270;38300;220
      Campo Erê;33147;8;700;8393;43;778;2287;166011;9134;60
      Caxambu do Sul;10210;-;99;5720;695;343;952;694400;59000;450
      Chapecó;33082;105;3156;39629;15122;757;10217;1370581;274562;7121
      Cordilheira Alta;8539;-;296;36894;5328;164;1350;696400;221446;-
      Coronel Freitas;36509;199;318;107759;10498;203;2195;935710;24665;48979
      Cunha Porã;23110;-;125;45200;1600;110;1100;1100000;50000;3700
      Cunhataí;9520;-;45;35720;2700;50;352;130000;12000;25
      Flor do Sertão;5291;-;34;4993;1678;42;189;281500;46891;-
      Formosa do Sul;13820;1;95;2469;123;146;417;727053;11496;31
      Guatambú;13891;-;325;14704;2080;200;1699;458231;70181;-
      Iraceminha;20000;-;130;29562;280;75;880;750000;19300;160
      Irati;8872;6;34;6203;15;51;142;138203;11397;47
      Jardinópolis;8227;-;95;21856;250;89;282;234406;1050;-
      Maravilha;21770;-;240;13760;1080;73;1700;822780;62910;97
      Modelo;9000;-;140;27680;300;18;390;435550;35000;33
      Nova Erechim;9489;9;79;80000;972;2;518;771448;39209;-
      Nova Itaberaba;16215;13;140;42774;614;173;712;936569;15030;75
      Novo Horizonte;11698;14;37;5753;849;268;405;172408;13865;85
      Palmitos;52190;8;305;152110;15520;176;2646;1890180;22000;450
      Pinhalzinho;14956;2;324;80972;8788;164;1238;1104864;20255;277
      Planalto Alegre;7470;-;37;2200;-;38;280;574870;334000;75
      Quilombo;30581;-;168;37379;7915;352;1435;813949;67114;535
      Saltinho;20770;-;178;22929;-;112;821;329666;18150;82
      Santa Terezinha do Progresso;17877;-;97;3165;-;107;262;44633;11124;108
      Santiago do Sul;10023;25;132;1729;-;103;489;204101;6640;6
      São Bernardino;20364;-;267;5662;2;135;313;89088;8965;463
      São Carlos;30590;-;170;122380;8100;97;1159;1270690;85490;60
      São Lourenço do Oeste;35264;-;388;20855;391;392;764;263026;61021;170
      São Miguel da Boa Vista;10830;-;50;2000;-;80;560;227580;11480;150
      Saudades;26419;-;236;99452;4846;313;1662;1059100;44427;883
      Serra Alta;8390;-;20;25940;2500;52;400;400000;11000;25
      Sul Brasil;12999;-;250;23874;1202;40;353;452266;17689;200
      Tigrinhos;7000;-;22;1540;-;60;270;252130;9000;60
      União do Oeste;11988;-;70;38524;3142;128;800;250686;5000;200
      Abelardo Luz;35937;29;640;33566;9660;1294;6725;700288;40423;175
      Bom Jesus;3185;-;59;2847;451;60;449;342364;193759;-
      Coronel Martins;9143;-;56;5290;1121;87;849;305509;8763;130
      Entre Rios;6480;-;26;21181;850;30;52;380920;8310;53
      Faxinal dos Guedes;12851;118;449;98910;50020;218;1433;1668954;1318493;500
      Galvão;10392;41;265;3900;13;44;510;229721;109392;40
      Ipuaçu;9596;-;201;34718;218;17;638;891129;14089;-
      Jupiá;10800;-;122;2138;77;30;367;269267;8328;-
      Lajeado Grande;6091;-;72;17187;-;140;1424;287477;2800;3200
      Marema;15303;19;193;37403;9966;180;896;680984;1717;88
      Ouro Verde;6876;19;84;4532;137;124;798;145069;86030;24
      Passos Maia;22003;-;385;73634;17032;213;2940;368900;120150;-
      Ponte Serrada;10734;136;217;41795;5100;117;2700;571390;204600;-
      São Domingos;15985;-;277;13697;3276;318;2309;699516;60042;194
      Vargeão;8123;-;64;18386;1900;176;1640;119967;70823;63
      Xanxerê;26609;-;665;68406;13874;365;3034;1099143;311459;1632
      Xaxim;24461;-;418;88537;5720;366;1748;1798348;181570;2087
      Água Doce;63520;-;1993;100650;9055;627;15055;1825400;3250;-
      Arroio Trinta;6077;-;95;104000;7200;88;475;50000;1050;-
      Caçador;15800;7;868;35000;13400;435;5700;392000;120000;250
      Calmon;10600;18;224;1328;-;224;712;130000;104094;42
      Capinzal;15350;-;521;12350;1520;275;1302;2655200;597100;-
      Catanduvas;6305;-;116;7356;585;98;702;1037420;274200;-
      Erval Velho;20357;-;152;53400;3502;83;630;1170600;272060;-
      Fraiburgo;17800;-;495;56900;6100;188;3130;490000;56000;934
      Herval d'Oeste;15613;72;70;46850;968;230;802;1202650;5800;-
      Ibiam;8500;-;114;42480;780;73;849;520000;3800;61
      Ibicaré;11708;32;121;35420;1465;185;495;965400;45860;-
      Iomerê;11581;-;130;147000;15500;191;2378;690000;78000;-
      Jaborá;16458;40;110;126320;5202;125;1512;1125400;4950;-
      Joaçaba;16050;74;219;48350;2580;165;1820;2095600;35600;-
      Lacerdópolis;9021;-;45;52345;5235;16;244;1098500;34205;-
      Lebon Régis;23900;38;322;1510;-;119;3080;20500;16000;12
      Luzerna;8358;24;154;19650;1385;70;620;974600;34600;-
      Macieira;5963;-;99;26000;1500;130;295;29000;4200;58
      Matos Costa;7020;-;497;7000;950;118;1580;11000;3000;58
      Ouro;25215;-;158;76250;3710;98;910;3285500;9250;-
      Pinheiro Preto;4507;-;77;60920;2700;26;488;363000;3300;33
      Rio das Antas;16908;70;308;119000;22500;115;2229;3200000;7400;-
      Salto Veloso;8024;-;268;54500;7363;279;866;154000;9000;230
      Tangará;15990;-;128;93897;5150;167;1299;1455000;17000;159
      Treze Tílias;20680;-;219;71350;1785;285;2258;710500;6100;-
      Vargem Bonita;11235;-;239;13450;720;260;1510;1310650;4560;-
      Videira;31740;34;467;256000;38000;1089;3600;3950000;483000;8300
      Alto Bela Vista;10300;-;100;29574;1270;71;163;471190;2500;-
      Arabutã;14112;44;67;138220;5694;173;648;2472700;44250;-
      Arvoredo;9438;31;105;103000;2510;35;158;1116000;939;-
      Concórdia;70930;120;900;427700;31115;612;5845;3547100;495150;2700
      Ipira;14720;-;112;20388;2670;82;370;900539;3600;-
      Ipumirim;19813;11;144;102192;3051;160;1819;2717200;4500;5200
      Irani;18600;-;240;112458;10700;1527;2487;418768;3730;-
      Itá;16190;16;250;134700;9430;35;410;1392100;6000;-
      Lindóia do Sul;19212;26;146;132412;2790;149;841;1041010;2700;-
      Paial;6610;-;60;23000;55;90;400;272624;2650;270
      Peritiba;9179;-;56;28096;2857;53;238;233700;4600;-
      Piratuba;14900;-;138;7610;218;105;274;1145700;3300;-
      Presidente Castello Branco;7260;-;55;58700;750;9;250;372400;1800;-
      Seara;29803;740;250;293400;34500;349;1864;2424300;15600;4200
      Xavantina;30134;261;166;201384;27233;179;720;874524;67898;250
      Bela Vista do Toldo;12023;-;548;17476;303;270;1736;80723;12676;27
      Canoinhas;25365;74;983;73808;1904;546;7815;438727;61643;58
      Irineópolis;12598;145;370;4446;65;485;3374;43302;13023;52
      Itaiópolis;29356;87;750;28361;2850;280;2944;1703950;55000;850
      Mafra;37224;26;801;33030;1257;150;6373;2718849;178000;105
      Major Vieira;14168;-;273;22602;352;138;1520;208683;13096;29
      Monte Castelo;12203;53;324;6114;903;82;2100;243120;4588;73
      Papanduva;27100;13;810;82522;28169;140;2715;232732;16044;125
      Porto União;19163;18;791;14397;2890;335;3966;22454;11427;68
      Santa Terezinha;13175;-;900;6275;746;160;1377;70000;18000;80
      Timbó Grande;12768;43;350;1545;73;350;1493;15080;8459;45
      Três Barras;3274;8;309;10023;1749;43;1940;83808;4116;10
      Campo Alegre;14967;-;1915;1708;104;174;4104;42300;16500;71
      Rio Negrinho;15105;-;1530;964;-;360;3247;302433;4090;350
      São Bento do Sul;10111;30;946;1311;29;143;1929;272000;19500;250
      Araquari;10686;213;727;873;16;126;519;580000;457265;33
      Balneário Barra do Sul;626;68;49;47;-;3;30;3200;1050;20
      Corupá;2657;85;114;649;-;65;151;128192;4100;280
      Garuva;4359;480;164;613;-;39;468;13942;9700;38
      Guaramirim;9417;-;483;314;-;74;426;85200;3430;17340
      Itapoá;953;-;154;158;-;-;102;16063;11500;15
      Jaraguá do Sul;11977;116;1246;2586;172;151;1056;214958;9345;188
      Joinville;17879;74;2299;1715;48;404;1468;390000;220000;1062
      Massaranduba;7222;-;248;1255;61;49;272;196045;9100;350
      São Francisco do Sul;1374;636;146;219;30;124;79;3806;1100;119
      Schroeder;1680;-;133;707;29;18;185;51218;4200;1500
      Abdon Batista;15053;-;62;19900;391;58;125;7450;6140;-
      Brunópolis;14953;-;138;5734;300;104;1331;9018;7000;-
      Campos Novos;60855;28;1114;173500;50600;525;6578;1631080;386320;-
      Curitibanos;36070;64;741;33574;8912;120;7116;55905;12000;47
      Frei Rogério;7564;-;182;529;80;63;1298;14000;1000;42
      Monte Carlo;5080;-;115;2950;235;72;465;61500;1600;-
      Ponte Alta;18976;93;238;857;77;59;1218;184337;160000;40
      Ponte Alta do Norte;3862;139;83;235;-;79;529;1307;800;-
      Santa Cecília;19492;-;343;29386;8858;113;1496;2629;1200;70
      São Cristóvão do Sul;7949;7;279;468;-;58;941;3566;1550;-
      Vargem;14580;18;248;1620;76;62;408;11350;3800;-
      Zortéa;8850;-;312;10150;1150;75;1065;620350;52100;-
      Anita Garibaldi;35000;11;1100;4200;950;200;3400;60000;20000;300
      Bocaina do Sul;18150;15;915;1380;275;65;1215;11800;5300;30
      Bom Jardim da Serra;35800;84;1600;810;208;105;3200;3850;1250;30
      Bom Retiro;30000;4;980;2250;520;165;5450;248300;88850;40
      Campo Belo do Sul;29000;80;1400;3050;760;150;2600;28000;14000;120
      Capão Alto;31000;220;1600;1650;300;50;3050;12000;5000;140
      Celso Ramos;12721;-;212;2237;317;119;165;10600;3850;-
      Cerro Negro;18000;10;550;3650;800;105;1030;16000;5000;40
      Correia Pinto;28000;25;1400;1800;500;165;1900;205000;102000;20
      Lages;89800;176;5630;2600;650;65;9920;336000;75000;690
      Otacílio Costa;18100;10;500;1900;560;35;1950;11000;4500;50
      Painel;31500;38;1150;1530;460;45;3500;5600;2400;-
      Palmeira;11380;34;490;800;350;17;1828;12000;4000;40
      Rio Rufino;9860;-;405;1220;360;42;470;6800;2800;-
      São Joaquim;78000;64;2890;2880;620;150;6036;22000;8000;140
      São José do Cerrito;45350;40;1300;6300;1150;250;3200;52000;16000;50
      Urubici;41000;274;1590;1020;290;120;1260;5800;2310;175
      Urupema;18000;10;850;730;215;12;690;3300;950;16
      Agronômica;5080;23;100;12000;600;5;180;150000;7000;45000
      Aurora;8000;-;100;9000;550;40;230;50000;12000;100
      Braço do Trombudo;8900;15;80;7000;800;25;410;10000;5000;-
      Dona Emma;9020;10;130;18000;500;20;420;10000;3000;100
      Ibirama;5100;15;195;3900;450;50;850;17000;9000;200
      José Boiteux;4000;30;35;3300;100;100;200;15000;7000;100
      Laurentino;6300;-;130;4000;500;20;250;10000;5000;-
      Lontras;8000;18;125;4500;50;110;1200;44000;14000;150
      Mirim Doce;10272;479;33;14035;604;84;638;77006;30000;-
      Pouso Redondo;28021;205;569;66408;9764;158;1641;50265;20000;16926
      Presidente Getúlio;19800;340;260;77000;2200;40;800;50000;19000;200
      Presidente Nereu;6240;71;70;6000;100;20;380;12000;5000;-
      Rio do Campo;19706;160;345;40642;125;97;1774;42971;35000;124263
      Rio do Oeste;19000;-;140;65000;4500;85;335;28000;10000;100
      Rio do Sul;9100;5;540;5000;250;140;1750;30000;12000;600
      Salete;13212;-;87;46811;4963;21;343;184338;62000;2900
      Taió;37537;48;500;70711;4104;161;2039;189172;127000;40016
